description,name,image,number
"Modern traditional styling is lent a rustic touch in the design of the Lindley Collection. Walnut veneers over solid wood are finished in dusty gray to complement the rich tone of the natural wood look. Round pull hardware punctuates each drawer front, while graceful lines lend a distinctly feminine touch. Button-tufting features prominently on the padded wood-framed headboard and footboard.",Lindley Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1947-1__11-750x500.jpg,1947
"Traditional from the canopy of the four post bed to the burl drawer fronts and turned feet of the case goods, the Verlyn Collection provides an elegant addition to your bedroom space. A classic cherry finish is utilized to highlight the cherry and ash burl veneers. Knob hardware provides refined contrast to the drawer fronts, while turned feet rise to support each case piece. The metal canopy rail that encircles the bed is supported by finial-topped turned posts, lending to the grandeur of the collection.",Verlyn Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1946-1__1-750x500.jpg,1946
"Reed accenting and subtle design pair with a dark walnut finish lending a sophisticated take on contemporary design in the Pelmar Collection. Neutral tone fabric covers the horizontal wood slat-accented headboard while, oval, polished nickel hardware accents each case piece.",Pelmar Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1944-1__1-750x500.jpg,1944
"The art deco glamour of the Tandie Collection is defined by subtle elements combing to create a sophisticated option for your elegant bedroom. At first glance your eye catches the delicate highlights of the champagne finish, the highs and lows playing effortlessly off the tight grain of the lizard patttern shagreen fronts, while platinum metallic finished hardware lends subtle contrast to the elegantly framed drawers. The functional drawer footboard provides additional space within your bedroom for much needed storage. The button tufted headboard is covered in pearl toned faux silk vinyl to provide additional glamour to this stylish bedroom collection.",Tandie Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1933-1__1-750x500.jpg,1933
"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black finish of the collection.",Allura Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1916BK-1__1-750x500.jpg,1916BK
"Redefining, soft contemporary design is achieved by blending classic elements to create the look of the Terron Collection. The bow-fronted case goods and sleigh bed feature book-matched mindy veneer that is beautifully highlighted by a medium oak finish. Off-set drawers on the dresser and the floating top design of each case pieces provides unique design character that makes this collection a perfect fit for your home.",Terron Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1909RF-1__1-750x500.jpg,1909RF
 ,Terrace Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1907W-1__1-750x500.jpg,1907W
"Your bedroom reflects your personal style â Allured by trend forward design, the Marceline Collection satisfied your desired look. The striking gray rub-through or the newly offered gray water-based finishes of the collection feature hand distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",Marceline Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1866GY-1__1-750x500.jpg,1866GY
"Old-World European styling is captured in the dramatically elegant Catalonia Collection. Traditional design elements reign at every turn â egg and dart molding, acanthus leaf carving, bead molding, gold tipping and extravagant carvings â creating a sophisticated look for your bedroom. Each drawer front features antiqued brass fixed-drop hardware with decorative flourish that furthers the elegant appointments that embellish this collection. A traditional cherry finish is utilized to highlight the cherry veneer of the set and decorative inlay patterns found on the case good tops. Metal scrollwork provides additional visual interest to the headboard, footboard and mirror framing.",Catalonia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1824-1__1-750x500.jpg,1824
"Offered as an elegant statement to your personal style the Aristide Collection will lend a sophisticated look to your modern bedroom. Updated contemporary design is utilized to create the dramatic look blending a trend-forward gray finish on oak solids and veneers with bold, elongated hardware in a gold finish. The subtle curves of the panel headboard, low profile footboard and rails are covered in a supple, modern light gray fabric.",Aristide Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1723-1__1-750x500.jpg,1723
"Casual transitional styling lends versatility to the placement of the Begonia Collection in a number of bedroom settings. The gray finish lends distinctly to the execution of different looks from traditional to country casual, with knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",Begonia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1718GY-1__1-750x500.jpg,1718GY
"Refined elegance is exemplified in the design of the Albright Collection. Classic elements of understated traditional design combined with a barnwood gray finish over oak veneer, high polish knob hardware and the light neutral tone of the fabric covered headboard and footboard, blend effortlessly to create a sophisticated modern traditional look for your bedroom. Elongated, tapered turned legs support the case pieces and bed.",Albright Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1717-1__11-750x500.jpg,1717
"Refined elegance is exemplified in the design of the Raku Collection. Classic elements of understated traditional design combined with a barnwood gray finish over walnut veneer, muted pewter finishÂ knob hardware and the light neutral tone of the headboard and footboard, blend effortlessly to create a sophisticated modern traditional look for your bedroom. Elongated, tapered turned legs support the case pieces and bed.",Raku Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1711-1__1-750x500.jpg,1711
"Making a statement to the glamorous nature of your personal design aesthetic is the Odelia Collection. The striking silver finish of the collection serves to highlight the decorative accents that reign the design â crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and foot board. The available twin, full, queen, Eastern King and California King bed options allow for perfect placement in your bedroom space.",Odelia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1708-1__1-750x500.jpg,1708
Transitional styling is paired with classic appointments and modern technology to create the Lavonia Collection. The eye-catching dramatic curve of the headboard creates instant appeal when taking in the design of this collection. The framing of the headboard carries over to the design of the low profile footboard and turned-foot supported recessed drawer front case pieces. Modern technology comes into play with the power strip â with USB port â charging station that is mounted to the upper back of the nightstand. A gray wire-brushed finish over oak veneers furthers the classic look of this bedroom collection.,Lavonia Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1707-1__11-750x500.jpg,1707
"Taking contemporary design to a new level is the Moritz Collection. Dramatically eye-catching from the distinct veneer pattern of the faux veneer to the high-gloss sheen and chrome accents, this bedroom collection is sure to give your bedroom the modern look that you so desire. The dark smoky tone of the faux veneer is lent magnificent accenting by the silver-tone of the patterned grain. The nickel finish of the elongated vertical hardware provides complementing visual contrast.",Moritz Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1706-1__1-750x500.jpg,1706
"Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that feature prominently throughout the collection. The headboard of the bed in combination with the low-profile footboard, create eye-catching drama with their bold design. Each case piece feature canted curved pilasters and legs that enhance the profile of the collection while button and bale, along with knob, hardware featured in an antiqued bronze finish lend subtle contrast.",Moorewood Park Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1704-1__1-750x500.jpg,1704
"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",Laurelin Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1714W-1__1-750x500.jpg,1714W
"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",Laurelin Collection ,https://www.homelegance.com/wp-content/uploads/2017/02/1714BK-1__1-750x500.jpg,1714BK
The Josie Collection provides a glamorous platform for the dÃ©cor of your newly restyled bedroom. Textured pearl grey-hued bi-cast vinyl is elegantly appointed with crystal-enhanced tufting on the sleigh headboard.,Josie Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/5799PU-1__1-750x500.jpg,5799PU
Light neutral toned fabric and nail head accent create a classic look that makes the Ember Collection a perfect choice for a multitude of bedroom decors.,Ember Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/5797N-1__1-750x500.jpg,5797N
"Covered in a neutral tone brown fabric, nail head accent and featuring a gently curved headboard, the Kase Collection will be the perfect addition to your modern traditional bedroom.",Kase Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1888N-1__1-750x500.jpg,1888N
"Drawing inspiration from traditional Danish modern design, the neutral grey tone of the Wade Collection lends to the contemporary feel. The low-profile bed features a button-tufted shelter headboard.",Wade Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1883N-1__1-750x500.jpg,1883N
"The modern traditional styling of the Bryndle Collection is characterized by the button-tufted headboard and footboard, as well as the nail head accenting on headboard. Further complimenting the design is the dark grey fabric that covers.",Bryndle Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1882N-1__1-750x500.jpg,1882N
The Zaira Collection offers modern traditional design showcasing beautiful nail head accenting headboard which elegantly contrasts its dark grey fabric.,Zaira Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1885N-1__1-750x500.jpg,1885N
"Modern traditional framing is utilized to create the look of the Delphine Collection. Neutral toned fabric is accented with double trim high-polish nail head accenting, lending an air of sophisticated elegance to this upholstered bed offering.",Delphine Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1884N-1__1-750x500.jpg,1884N
"The ever popular Louis Philippe style is updated with functional accoutrements in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage on the nightstand, dresser and chest â each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this adult collection, as well as youth. Okume veneers are elegantly highlighted with a traditional brown cherry finish.",Abbeville Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1856-1__1-750x500.jpg,1856
"The contemporary design of the Lorenzi Collection is enhanced by the addition of the durable black vinyl covering that encases each piece in the collection. Painted grey hardware provides a distinct contrast to the fabricâs finish. Scaled for urban living, this collection will prove to be a unique and stylish addition to your master, youth, and guest bedrooms.",Lorenzi Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/2220-1__1-750x500.jpg,2220
"The contemporary styling of the Vestavia Collection provides a unique platform from which to redecorate your bedroom. Faux wood printed veneer provides subtle texture and a grey finish as perfect contrast to the dark brown finish of the base rails of the case pieces and back panels of the headboard and footboard. Clean lines lend to the angular modern look and are enhanced by the horizontal brushed nickel hardware. Offered in both adult and youth beds, this collection provides great flexibility to your rooms at home.",Vestavia Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1936-1__1-750x500.jpg,1936
"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the light finish of the embossed faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",Beechnut Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1904__1-750x500.jpg,1904
"Drawing inspiration from Danish mid-century modern design, the Anika Collection is a stylish addition to your bedroom. The curved framing of each case piece is perfectly accentuated by polished chrome hardware and features soft-close mechanisms on the doors and storage drawers for quiet and sure closure. Offered alongside the traditional case pieces is a four-door chest. Ivory bi-cast vinyl covers the padded wood rail-topped headboard, providing stark contrast to the light ash finish over ash veneers. All pieces in the collection feature tapered legs that are signature to this classic look.",with 1915-9 Anika Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1915-1__1__1915-1_____with_1915-9-750x500.jpg,1915
"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix make the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist â satin nickel hardware accents the glossy white or dark espresso or brownish grey finish, bowfront case pieces feature ball bearing drawer glides, and compliment the padded sleigh headboard and footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",Lyric Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1737NGY-1__1-750x500.jpg,1737NGY
"Classic elements of contemporary design are executed to create the look of the Summerlin Collection. Modified convex lines provide bold detailing to the case good drawer fronts, while brushed nickel hardware compliments. The dual panel black bi-cast vinyl padded headboard inserts feature detail stitching and provide contrast to the espresso finish of the collection.",Summerlin Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1908-1__1-750x500.jpg,1908
"With the aesthetic of modern traditional styling, the Owens Collection will blend effortlessly into your chic bedroom. Trend-forward alligator embossing features prominently on the case good fronts. The matching black alligator bi-cast vinyl accented bed with brushed nickel nail head accenting further lends to the distinct look of the headboard and footboard. Frame design case goods feature brushed nickel hardware. Harmonizing the overall look of the collection and lending a classic touch to the design is the warm cherry finish.",Owens Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1857-1__1-750x500.jpg,1857
Traditional aesthetic doesnât always have to be grand in scale or accent to achieve a timeless look. The Eunice Collection takes the form of traditional case pieces and utilizes an espresso finish and understated knob hardware to create bedrooms style that can range from transitional to cottage. Recessed framing carries over from the design of the headboard to the drawer fronts of the case pieces and storage footboard.,Eunice Collection ,https://www.homelegance.com/wp-content/uploads/2016/02/1844DC-1__1-750x500.jpg,1844DC
The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,Morelle Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1356C-1__1-750x500.jpg,1356C
"Bold framing combined with unfettered design creates the look of the Farrin Collection.A dark rustic pine finish covers pine solids and veneers lending a natural look and texture to the bed and accompanying case goods. Dark finished metal knob hardware punctuates each drawer front, while wide pilaster framing lends a substantial accent to the collection.",Farrin Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1924-1__1-750x500.jpg,1924
"The traditional shape and accenting of Craftsman style is perfectly achieved in the design of the Terrace Collection. A rustic burnished oak finish that accentuates the natural characteristics of the solid poplar wood lends to the design, while antiqued bronze finished hardware adorns each case piece. Drawers and door storage provide ample storage space for your personal items.",Terrace Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1907-1__1-750x500.jpg,1907
"As a unique addition to a bedroom with either modern or rustic aesthetic, the Sorrel Collection will surely turn heads. Poplar solids feature a heavily burnished finish in this cleanly designed offering. Unfettered framing is boldly accented with two-tone exposed dovetail joints, metal pull hardware on the drawer fronts, and tapered legs that provide strong support.",Sorrel Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1927-1__1-750x500.jpg,1927
"Elegantly designed in the modern traditional style, the Odette Collection will stand as an example of your preference for timeless sophistication. High-polish nickel hardware adds an elegant touch to the case pieces, as does the mirrored door panels of the dresser. The headboard features a center mounted, raised, padded platinum bi-cast vinyl covered panel with nail head trim. Creating a thoroughly modern twist is the pearlized champagne finish that ties the classic look together.",Odeon Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1937-1__1-750x500.jpg,1937
"Classic traditional styling is updated for your home in the Granbury Collection. Design features that define this timeless look; pewter finish button and bale hardware, picture framed fronts, tapered feet, and routed pilasters play against the casual grey rub-through finish, creating a look that is both modern and stately.",Granbury Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1911-1__1-750x500.jpg,1911
"Traditional styling takes elegant form in the Chaumont Collection. Classic design elements such as scrolled moldings, bale and knob hardware, bun feet, and acanthus leaf motif on the pilasters merge to create the look. Standing as the focal point of collection is the stately sleigh bed. Decorative scroll molding frames and a dark brown, button-tufted bi-cast vinyl insert headboard provide eye-catching detail. Oak and burl veneers further the traditional style as does the gold-tipped burnished brown cherry finish.",Chaumont Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1945-1__1-750x500.jpg,1945
"Encompassing a full range of traditional design elements, the Brompton Lane Collection will be an exquisite addition to your bedroom. Immediately drawing your eyes are the stately sleigh bed, with its wood framing and dramatically rolled dark brown faux leather button-tufted headboard and footboard. Breakfront case pieces feature ring pull and button & bale hardware, along with the traditional bead and egg , and dart moldings. Cleverly designed within the dresser and night stand are hidden drawers to serve as convenient and subtle storage for your valued possessions. Burl fronts and cherry veneers are elegantly highlighted with a cherry finish furthering the traditional look of the Brompton Lane Collection.",Brompton Lane Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1847-1__1-750x500.jpg,1847
"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. Cherry veneers and burl inlay are highlighted by a warm cherry finish with gold tipping.",Antoinetta Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1919-1__1-750x500.jpg,1919
"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted case goods, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look. Burl inlay creates beautiful contrast to the gold-highlighted warm cherry finish of the collection. Button tufting features prominently on the traditional low profile bed, while the footboard with heavy wood framing.",Bonaventure Park Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1935PN-1__1-750x500.jpg,1935PN
"With bold curves that are softened with elegant accentuation, the look of the Chrysanthe Collection is nothing short of utterly feminine. Clipped corner case tops are supported by dramatically curved canted pilasters that give way to the scroll-accented base moldings of each piece in the collection. Drawer fronts are punctuated by decorative metal hardware that features the look of white hang-up accentuated dark metal. The headboard rises in elegant fashion cresting with heavily scrolled framing that perfectly complements the case pieces. A water based finish highlights the oak veneers over oak solids, with subtle white hang-up lending a slightly weathered aesthetic.",Chrysanthe Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1912-1__1-750x500.jpg,1912
"The Ashden Collection creates visual interest with sophisticated modern traditional accents and elegant lines. The driftwood finish that enhances the beautiful cathedral grain of mindy veneer is utilized to provide contrast with the high polish of the nail heads and hardware that accents the collection. Distinctive scallop shaping graces subtle molding of the case pieces which carries over to the design of the base rail and feet of the bed. Neutral button-tufted fabric headboard is highlighted with subtle shimmer, further lending to the sophisticated yet understated elegance of the collection.",Ashden Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1918-1__1-750x500.jpg,1918
"With dramatic flair, the bed of the Toulouse Collection immediately draws your eyes to the luscious that make of the design of this elegant bedroom suite. The case goods feature curves that emboldened by the two-tone high polished graphite grey and chrome drop pull hardware. Shagreen embossing vinyl provides a unique texture to the champagne finish of both the bed and case goods. The button-tufted padded headboard insert is featured in a platinum bi-cast vinyl that further lends to the glamourous look of the collection.",Toulouse Collection ,https://www.homelegance.com/wp-content/uploads/2017/03/1901-1__1-750x500.jpg,1901
"The look of traditional design is updated for the modern traditional home in the Celandine Collection. Crystal tufting immediately draws the eyes to the pearlized finish of the bi-cast vinyl headboard insert, while high polished knob hardware stands out from the silver finish of the collection. With each of the aforementioned elements, subtle glamour will be achieved in the design of your elegant bedroom.",Celandine Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1928-1__1-750x500.jpg,1928
Modern contemporary styling is perfectly executed in the design of the Valpico Collection. A cool grey with olive undertone finish is utilized to achieve a sleek appearance only to be enhanced by the clean lines of the case goods and bed. Slightly angled square polished chrome hardware and louvered paneling on the bed further accent the collection.,Valpico Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1905-1__1-750x500.jpg,1905
"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the silver finish of the collection.",Allura Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1916-1__1-750x500.jpg,1916
"Adding a bold touch of glamour to your boudoir is the Alonza Collection. Finished in a brilliant white, the embossed alligator board is reflected in the inlay mirrors of the bed and case pieces. The newly available back-lit LED headboard and mirror illuminate with a delicate touch, creating a dazzling glow. Turned feet provide a distinct departure from the linear design of the collection, adding a distinctly feminine flair. Drawer pulls add to the allure of the collection with an inlay crystal and chrome look.",Alonza Collection ,https://www.homelegance.com/wp-content/uploads/2016/03/1845LED-1__1-750x500.jpg,1845LED
